MobileNetV2 FP32 Inference Profiling
Batch size: 1 | Input: 3x224x224 | Runs: 10
Device: CPU | torch: 2.11.0+cpu
================================================================================

--------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  --------------------------------------------------------------------------------  ------------  
                            Name    Self CPU %      Self CPU   CPU total %     CPU total  CPU time avg    # of Calls                                                                      Input Shapes  Total KFLOPs  
--------------------------------  ------------  ------------  ------------  ------------  ------------  ------------  --------------------------------------------------------------------------------  ------------  
                aten::batch_norm         0.02%      26.200us         1.07%       1.181ms     118.140us            10                       [[1, 96, 112, 112], [96], [96], [96], [96], [], [], [], []]            --  
                      aten::mean         0.22%     245.500us         1.07%       1.180ms     117.950us            10                                                     [[1, 1280, 7, 7], [], [], []]            --  
               aten::convolution         0.03%      30.100us         1.07%       1.177ms     117.700us            10                   [[1, 320, 7, 7], [1280, 320, 1, 1], [], [], [], [], [], [], []]            --  
                aten::batch_norm         0.14%     151.500us         1.06%       1.172ms      58.610us            20                       [[1, 32, 112, 112], [32], [32], [32], [32], [], [], [], []]            --  
        aten::mkldnn_convolution         1.03%       1.136ms         1.06%       1.165ms     116.470us            10                             [[1, 96, 56, 56], [24, 96, 1, 1], [], [], [], [], []]            --  
    aten::_batch_norm_impl_index         0.06%      66.400us         1.05%       1.155ms     115.520us            10                       [[1, 96, 112, 112], [96], [96], [96], [96], [], [], [], []]            --  
         aten::native_batch_norm         0.87%     962.500us         1.04%       1.149ms      22.978us            50                        [[1, 192, 28, 28], [192], [192], [192], [192], [], [], []]            --  
              aten::_convolution         0.03%      37.300us         1.04%       1.147ms     114.690us            10   [[1, 320, 7, 7], [1280, 320, 1, 1], [], [], [], [], [], [], [], [], [], [], []]            --  
    aten::_batch_norm_impl_index         0.20%     216.800us         1.03%       1.129ms      28.230us            40                         [[1, 64, 14, 14], [64], [64], [64], [64], [], [], [], []]            --  
                    aten::conv2d         0.03%      27.700us         1.01%       1.110ms     110.970us            10                           [[1, 144, 28, 28], [32, 144, 1, 1], [], [], [], [], []]     72253.440  
               aten::thnn_conv2d         0.02%      21.300us         1.01%       1.110ms     110.960us            10                               [[1, 320, 7, 7], [1280, 320, 1, 1], [], [], [], []]            --  
